Region Name,Region Unique Number,Number of Voxels,Mask File Path,Delta X,Delta Y,Delta Z,Mask Center,Mni_Scaled
frontal,32,51,,14,18,10,"[93, 79, 49, 1]","[-0.66, -0.068, 0.018]"
frontal,33,22,,10,7,4,"[97, 75, 54, 1]","[-0.74, -0.123, 0.106]"
frontal,34,105,,8,5,10,"[85, 70, 54, 1]","[-0.5, -0.191, 0.106]"
frontal,35,492,,7,14,12,"[87, 78, 55, 1]","[-0.54, -0.082, 0.124]"
frontal,36,83,,8,6,4,"[85, 70, 59, 1]","[-0.5, -0.191, 0.194]"
frontal,39,466,,15,10,10,"[94, 75, 56, 1]","[-0.68, -0.123, 0.141]"
frontal,40,130,,9,9,4,"[100, 80, 53, 1]","[-0.8, -0.055, 0.088]"
frontal,41,147,,9,4,5,"[94, 71, 59, 1]","[-0.68, -0.177, 0.194]"
frontal,42,119,,5,7,6,"[100, 73, 58, 1]","[-0.8, -0.15, 0.176]"
frontal,49,342,,9,13,11,"[66, 75, 78, 1]","[-0.12, -0.123, 0.529]"
frontal,56,404,,5,11,11,"[64, 79, 88, 1]","[-0.08, -0.068, 0.706]"
frontal,61,230,,7,7,14,"[75, 79, 90, 1]","[-0.3, -0.068, 0.741]"
frontal,64,36,,5,2,8,"[64, 75, 95, 1]","[-0.08, -0.123, 0.829]"
frontal,65,206,,7,11,9,"[69, 80, 95, 1]","[-0.18, -0.055, 0.829]"
frontal,86,103,,7,6,9,"[85, 85, 83, 1]","[-0.5, 0.014, 0.618]"
frontal,87,679,,11,15,15,"[79, 84, 86, 1]","[-0.38, 0.0, 0.671]"
frontal,88,59,,6,7,11,"[79, 80, 84, 1]","[-0.38, -0.055, 0.635]"
frontal,89,830,,10,16,17,"[75, 88, 89, 1]","[-0.3, 0.055, 0.724]"
frontal,90,87,,11,5,11,"[91, 90, 67, 1]","[-0.62, 0.082, 0.335]"
frontal,91,63,,8,4,6,"[90, 87, 75, 1]","[-0.6, 0.041, 0.476]"
frontal,97,10,,2,3,5,"[89, 81, 41, 1]","[-0.58, -0.041, -0.124]"
frontal,98,923,,9,17,17,"[86, 86, 45, 1]","[-0.52, 0.027, -0.053]"
frontal,99,399,,9,12,9,"[84, 99, 48, 1]","[-0.48, 0.205, 0.0]"
frontal,100,312,,7,10,15,"[87, 74, 48, 1]","[-0.54, -0.136, 0.0]"
frontal,101,377,,9,15,7,"[84, 97, 53, 1]","[-0.48, 0.177, 0.088]"
frontal,102,248,,8,10,8,"[85, 87, 55, 1]","[-0.5, 0.041, 0.124]"
frontal,103,303,,11,12,9,"[91, 91, 50, 1]","[-0.62, 0.095, 0.035]"
frontal,104,419,,12,15,10,"[94, 85, 51, 1]","[-0.68, 0.014, 0.053]"
frontal,105,258,,9,6,21,"[96, 91, 58, 1]","[-0.72, 0.095, 0.176]"
frontal,106,1262,,15,17,21,"[81, 113, 70, 1]","[-0.42, 0.395, 0.388]"
frontal,107,698,,8,14,13,"[64, 98, 70, 1]","[-0.08, 0.191, 0.388]"
frontal,108,619,,8,17,14,"[64, 85, 76, 1]","[-0.08, 0.014, 0.494]"
frontal,109,191,,9,8,5,"[66, 70, 75, 1]","[-0.12, -0.191, 0.476]"
frontal,110,804,,8,15,17,"[64, 90, 81, 1]","[-0.08, 0.082, 0.582]"
frontal,113,346,,11,12,8,"[67, 82, 94, 1]","[-0.14, -0.027, 0.812]"
frontal,114,472,,9,20,9,"[70, 99, 34, 1]","[-0.2, 0.205, -0.247]"
frontal,115,909,,13,20,12,"[76, 99, 36, 1]","[-0.32, 0.205, -0.212]"
frontal,116,1197,,18,22,11,"[69, 116, 35, 1]","[-0.18, 0.436, -0.229]"
frontal,117,494,,6,16,11,"[64, 102, 35, 1]","[-0.08, 0.245, -0.229]"
frontal,118,859,,19,9,14,"[72, 127, 42, 1]","[-0.24, 0.586, -0.106]"
frontal,134,622,,11,18,7,"[79, 117, 39, 1]","[-0.38, 0.45, -0.159]"
frontal,135,945,,13,16,19,"[90, 117, 45, 1]","[-0.6, 0.45, -0.053]"
frontal,136,700,,13,14,15,"[92, 108, 57, 1]","[-0.64, 0.327, 0.159]"
frontal,137,808,,10,15,16,"[87, 117, 57, 1]","[-0.54, 0.45, 0.159]"
frontal,138,757,,12,12,13,"[79, 121, 58, 1]","[-0.38, 0.505, 0.176]"
frontal,139,979,,13,13,16,"[89, 110, 63, 1]","[-0.58, 0.355, 0.265]"
frontal,140,1168,,14,16,17,"[90, 97, 68, 1]","[-0.6, 0.177, 0.353]"
frontal,141,342,,15,11,10,"[89, 91, 71, 1]","[-0.58, 0.095, 0.406]"
frontal,142,786,,13,13,14,"[86, 107, 75, 1]","[-0.52, 0.314, 0.476]"
frontal,143,354,,12,11,8,"[83, 96, 43, 1]","[-0.46, 0.164, -0.088]"
frontal,146,205,,4,17,8,"[62, 88, 67, 1]","[-0.04, 0.055, 0.335]"
frontal,147,135,,4,13,3,"[62, 72, 68, 1]","[-0.04, -0.164, 0.353]"
frontal,148,858,,6,17,19,"[63, 103, 79, 1]","[-0.06, 0.259, 0.547]"
frontal,153,2,,0,1,0,"[90, 88, 42, 1]","[-0.6, 0.055, -0.106]"
frontal,166,706,,14,15,13,"[84, 100, 40, 1]","[-0.48, 0.218, -0.141]"
frontal,167,312,,11,11,7,"[84, 109, 39, 1]","[-0.48, 0.341, -0.159]"
frontal,168,635,,7,18,14,"[65, 119, 42, 1]","[-0.1, 0.477, -0.106]"
frontal,169,819,,8,20,11,"[64, 108, 43, 1]","[-0.08, 0.327, -0.088]"
frontal,170,580,,11,17,13,"[91, 105, 42, 1]","[-0.62, 0.286, -0.106]"
frontal,171,552,,12,10,11,"[79, 122, 48, 1]","[-0.38, 0.518, 0.0]"
frontal,172,567,,13,15,9,"[92, 104, 49, 1]","[-0.64, 0.273, 0.018]"
frontal,173,415,,8,11,12,"[64, 125, 52, 1]","[-0.08, 0.559, 0.071]"
frontal,174,1084,,9,16,16,"[65, 113, 53, 1]","[-0.1, 0.395, 0.088]"
frontal,175,887,,11,15,20,"[95, 99, 56, 1]","[-0.7, 0.205, 0.141]"
frontal,176,553,,15,7,13,"[71, 128, 55, 1]","[-0.22, 0.6, 0.124]"
frontal,177,896,,8,15,19,"[64, 105, 63, 1]","[-0.08, 0.286, 0.265]"
frontal,178,1498,,8,22,24,"[64, 118, 69, 1]","[-0.08, 0.464, 0.371]"
frontal,179,797,,11,14,23,"[71, 121, 69, 1]","[-0.22, 0.505, 0.371]"
frontal,180,788,,9,17,22,"[76, 118, 69, 1]","[-0.32, 0.464, 0.371]"
frontal,181,581,,9,14,12,"[78, 103, 78, 1]","[-0.36, 0.259, 0.529]"
frontal,182,980,,18,16,19,"[87, 97, 81, 1]","[-0.54, 0.177, 0.582]"
frontal,183,368,,9,15,9,"[66, 113, 82, 1]","[-0.12, 0.395, 0.6]"
frontal,184,514,,10,14,15,"[73, 108, 81, 1]","[-0.26, 0.327, 0.582]"
frontal,185,621,,11,12,16,"[89, 89, 81, 1]","[-0.58, 0.068, 0.582]"
frontal,186,495,,8,17,13,"[80, 94, 86, 1]","[-0.4, 0.136, 0.671]"
frontal,187,490,,7,14,15,"[75, 97, 83, 1]","[-0.3, 0.177, 0.618]"
frontal,188,706,,13,16,11,"[68, 100, 89, 1]","[-0.16, 0.218, 0.724]"
frontal,189,720,,11,14,14,"[67, 91, 90, 1]","[-0.14, 0.095, 0.741]"
frontal,197,26,,3,1,5,"[63, 67, 73, 1]","[-0.06, -0.232, 0.441]"
frontal,198,298,,6,15,9,"[63, 75, 73, 1]","[-0.06, -0.123, 0.441]"
frontal,231,39,,11,15,10,"[27, 84, 45, 1]","[0.66, 0.0, -0.053]"
frontal,233,37,,15,11,6,"[25, 77, 53, 1]","[0.7, -0.095, 0.088]"
frontal,234,114,,7,6,7,"[35, 73, 52, 1]","[0.5, -0.15, 0.071]"
frontal,235,232,,7,12,7,"[35, 78, 57, 1]","[0.5, -0.082, 0.159]"
frontal,236,127,,6,6,7,"[37, 71, 58, 1]","[0.46, -0.177, 0.176]"
frontal,237,5,,5,1,2,"[21, 74, 55, 1]","[0.78, -0.136, 0.124]"
frontal,239,198,,9,9,6,"[34, 76, 58, 1]","[0.52, -0.109, 0.176]"
frontal,240,2,,1,0,0,"[32, 72, 61, 1]","[0.56, -0.164, 0.229]"
frontal,241,296,,11,9,8,"[27, 77, 55, 1]","[0.66, -0.095, 0.124]"
frontal,242,202,,11,9,6,"[23, 83, 53, 1]","[0.74, -0.014, 0.088]"
frontal,243,108,,9,4,5,"[28, 73, 59, 1]","[0.64, -0.15, 0.194]"
frontal,244,185,,8,7,8,"[21, 77, 57, 1]","[0.78, -0.095, 0.159]"
